         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      105    0.001    0.000    0.005    0.000 docscrape.py:228(_parse_param_list)
       59    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1587(_fill_cache)
     8386    0.001    0.000    0.001    0.000 typing.py:1272(<genexpr>)
     1278    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
       97    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     2888    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.001    0.001    0.041    0.041 compute.py:312(_make_global_functions)
     3821    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3141    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     2556    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
  538/166    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
      558    0.001    0.000    0.001    0.000 compute.py:112(_get_arg_names)
     1347    0.001    0.000    0.008    0.000 re.py:202(sub)
      492    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
      911    0.001    0.000    0.002    0.000 {built-in method builtins.max}
       19    0.001    0.000    0.002    0.000 enum.py:180(__new__)
     1680    0.001    0.000    0.001    0.000 copy.py:243(_keep_alive)
      524    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:71(__init__)
      729    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      105    0.001    0.000    0.011    0.000 docscrape.py:384(_parse)
      490    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
      265    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
      492    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
       91    0.001    0.000    0.004    0.000 typing.py:532(Literal)
     1470    0.001    0.000    0.001    0.000 copy.py:201(_deepcopy_list)
      685    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     2808    0.001    0.000    0.001    0.000 docscrape.py:71(eof)
      279    0.001    0.000    0.001    0.000 compute.py:209(_get_options_class)
      524    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
       28    0.001    0.000    0.001    0.000 inspect.py:744(cleandoc)
     2409    0.001    0.000    0.001    0.000 sre_parse.py:254(get)
     5348    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     7704    0.001    0.000    0.001    0.000 {built-in method builtins.id}
        1    0.001    0.001    0.001    0.001 extras.py:1(<module>)
      918    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:391(cached)
        2    0.000    0.000    0.001    0.000 lazy.py:84(__new__)
        3    0.000    0.000    0.000    0.000 {built-in method _ctypes.LoadLibrary}
      171    0.000    0.000    0.008    0.000 typing.py:483(Union)
   187/56    0.000    0.000    0.008    0.000 sre_parse.py:435(_parse_sub)
    713/6    0.000    0.000    0.468    0.078 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      316    0.000    0.000    0.001    0.000 inspect.py:2002(_signature_is_functionlike)
      426    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
    430/4    0.000    0.000    0.468    0.117 {built-in method builtins.__import__}
  422/341    0.000    0.000    0.016    0.000 typing.py:306(inner)
      230    0.000    0.000    0.002    0.000 overrides.py:83(verify_matching_signatures)
      551    0.000    0.000    0.000    0.000 {built-in method nt._path_splitroot}
      426    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:618(_validate_timestamp_pyc)
      589    0.000    0.000    0.001    0.000 docscrape.py:64(seek_next_non_empty_line)
      311    0.000    0.000    0.001    0.000 function_base.py:487(add_newdoc)
      262    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
      815    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
      108    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
     1704    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      766    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      528    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      501    0.000    0.000    0.067    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
     1538    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      746    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      509    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      623    0.000    0.000    0.001    0.000 docscrape.py:93(is_unindented)
     1538    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
     3319    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     3319    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      270    0.000    0.000    0.001    0.000 _decorators.py:379(<listcomp>)
     2517    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      523    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      198    0.000    0.000    0.001    0.000 enum.py:89(__setitem__)
    56/15    0.000    0.000    0.002    0.000 typing.py:1046(__getitem__)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
      171    0.000    0.000    0.002    0.000 typing.py:267(_remove_dups_flatten)
      951    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      626    0.000    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      426    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
     3262    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
      231    0.000    0.000    0.001    0.000 inspect.py:612(unwrap)
     2266    0.000    0.000    0.000    0.000 docscrape.py:50(__getitem__)
      105    0.000    0.000    0.003    0.000 docscrape.py:362(_parse_summary)
       72    0.000    0.000    0.001    0.000 config.py:491(register_option)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1040(__init__)
     2533    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
     1302    0.000    0.000    0.000    0.000 docscrape.py:87(is_empty)
      522    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:746(find_spec)
      105    0.000    0.000    0.020    0.000 docscrape.py:146(__init__)
      361    0.000    0.000    0.002    0.000 typing.py:947(__init__)
      333    0.000    0.000    0.003    0.000 docscrape.py:558(dedent_lines)
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
     1050    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
     1583    0.000    0.000    0.000    0.000 enum.py:678(__new__)
      449    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       21    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
     1136    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
     1279    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        6    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
      528    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:165(__init__)
      509    0.000    0.000    0.000    0.000 docscrape.py:97(peek)
      106    0.000    0.000    0.001    0.000 inspect.py:1964(_signature_bound_method)
      239    0.000    0.000    0.000    0.000 enum.py:470(__setattr__)
      528    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
