         419821 function calls (408413 primitive calls) in 0.469 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       19    0.000    0.000    0.000    0.000 enum.py:626(_find_new_)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
       42    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
       68    0.000    0.000    0.001    0.000 {built-in method _abc._abc_register}
      131    0.000    0.000    0.000    0.000 expr.py:182(<genexpr>)
        1    0.000    0.000    0.051    0.051 compute.py:1(<module>)
       43    0.000    0.000    0.000    0.000 getlimits.py:697(__init__)
       30    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.001    0.001 rolling.py:1855(Rolling)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 blocks.py:1(<module>)
      868    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
        1    0.000    0.000    0.001    0.001 expanding.py:51(Expanding)
        1    0.000    0.000    0.007    0.007 cloudpickle.py:1(<module>)
        3    0.000    0.000    0.001    0.000 missing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pprint.py:1(<module>)
        2    0.000    0.000    0.027    0.014 indexing.py:1(<module>)
      134    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.001    0.001 interval.py:187(IntervalArray)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
      787    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      426    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:874(create_module)
      315    0.000    0.000    0.000    0.000 docscrape.py:53(reset)
       72    0.000    0.000    0.001    0.000 config.py:811(inner)
      494    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      119    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
      191    0.000    0.000    0.000    0.000 doc.py:11(create_section_header)
        1    0.000    0.000    0.001    0.001 cast.py:1(<module>)
      210    0.000    0.000    0.000    0.000 docscrape.py:403(<genexpr>)
        8    0.000    0.000    0.001    0.000 enum.py:483(_create_)
        1    0.000    0.000    0.001    0.001 _scimath_impl.py:1(<module>)
       46    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
       34    0.000    0.000    0.000    0.000 generic.py:13630(make_doc)
        1    0.000    0.000    0.000    0.000 merge.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.001    0.001 nanops.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stata.py:1(<module>)
        2    0.000    0.000    0.001    0.000 period.py:1(<module>)
        3    0.000    0.000    0.003    0.001 accessor.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.010    0.010 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 uuid.py:84(UUID)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       36    0.000    0.000    0.000    0.000 typing.py:371(__getattr__)
       46    0.000    0.000    0.000    0.000 enum.py:579(_get_mixins_)
       50    0.000    0.000    0.000    0.000 _internal.py:893(_ufunc_doc_signature_formatter)
       91    0.000    0.000    0.000    0.000 {built-in method numpy.array}
      103    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:421(spec_from_loader)
        1    0.000    0.000    0.005    0.005 tz.py:1(<module>)
       11    0.000    0.000    0.000    0.000 dataclasses.py:723(_get_field)
      237    0.000    0.000    0.000    0.000 inspect.py:2962(<genexpr>)
        1    0.000    0.000    0.000    0.000 multi.py:228(MultiIndex)
        2    0.000    0.000    0.000    0.000 textwrap.py:241(_wrap_chunks)
        2    0.000    0.000    0.052    0.026 accessors.py:1(<module>)
        2    0.000    0.000    0.002    0.001 categorical.py:1(<module>)
       12    0.000    0.000    0.000    0.000 extension.py:125(wrapper)
        3    0.000    0.000    0.000    0.000 concat.py:1(<module>)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      281    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
        1    0.000    0.000    0.000    0.000 parquet.py:1(<module>)
       16    0.000    0.000    0.001    0.000 dataclasses.py:412(_create_fn)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _arrow_string_mixins.py:34(ArrowStringArrayMixin)
       33    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
      336    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
      110    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 argparse.py:1671(ArgumentParser)
        1    0.000    0.000    0.001    0.001 resample.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetime.py:762(date)
      143    0.000    0.000    0.000    0.000 _decorators.py:477(__init__)
      335    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
       56    0.000    0.000    0.000    0.000 sre_parse.py:923(fix_flags)
        2    0.000    0.000    0.007    0.003 construction.py:1(<module>)
      112    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      231    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      155    0.000    0.000    0.000    0.000 typing.py:714(__hash__)
       14    0.000    0.000    0.001    0.000 core.py:113(doc_note)
       73    0.000    0.000    0.000    0.000 numerictypes.py:471(issubdtype)
      209    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      208    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      208    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:532(Repository)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:254(_requires_builtin_wrapper)
       33    0.000    0.000    0.000    0.000 dataclasses.py:664(_is_type)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.008    0.008 ewm.py:1(<module>)
        1    0.000    0.000    0.013    0.013 algorithms.py:1(<module>)
      210    0.000    0.000    0.000    0.000 docscrape.py:159(__getitem__)
       56    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
        1    0.000    0.000    0.001    0.001 multi.py:1(<module>)
        1    0.000    0.000    0.000    0.000 frequencies.py:1(<module>)
        6    0.000    0.000    0.000    0.000 numeric.py:2690(extend_all)
        1    0.000    0.000    0.000    0.000 types.py:1(<module>)
        8    0.000    0.000    0.000    0.000 nanops.py:68(__init__)
      144    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
        4    0.000    0.000    0.000    0.000 sysconfig.py:214(_expand_vars)
       37    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.005    0.005 array_ops.py:1(<module>)
      488    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        6    0.000    0.000    0.000    0.000 _strptime.py:238(pattern)
      105    0.000    0.000    0.000    0.000 docscrape.py:370(<listcomp>)
        2    0.000    0.000    0.005    0.002 dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
        3    0.000    0.000    0.000    0.000 getlimits.py:549(_init)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
        1    0.000    0.000    0.002    0.002 rolling.py:1(<module>)
        1    0.000    0.000    0.001    0.001 tarfile.py:1(<module>)
      211    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      210    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        1    0.000    0.000    0.000    0.000 dtypes.py:2046(ArrowDtype)
        1    0.000    0.000    0.008    0.008 string_.py:1(<module>)
       13    0.000    0.000    0.002    0.000 typing.py:2246(_make_nmtuple)
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pydoc.py:1(<module>)
        1    0.000    0.000    0.000    0.000 umath.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:569(_check_for_existing_members)
      278    0.000    0.000    0.000    0.000 typing.py:2017(overload)
       81    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.023    0.023 _index_tricks_impl.py:1(<module>)
       59    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
       88    0.000    0.000    0.000    0.000 six.py:146(__init__)
      214    0.000    0.000    0.000    0.000 _decorators.py:316(<lambda>)
        1    0.000    0.000    0.007    0.007 take.py:1(<module>)
        7    0.000    0.000    0.000    0.000 {built-in method winreg.EnumValue}
       41    0.000    0.000    0.001    0.000 typing.py:1083(copy_with)
      534    0.000    0.000    0.000    0.000 typing.py:2046(final)
        1    0.000    0.000    0.000    0.000 pydoc.py:1809(Helper)
       52    0.000    0.000    0.000    0.000 accessor.py:79(forbid_nonstring_types)
        1    0.000    0.000    0.000    0.000 base_parser.py:1(<module>)
       68    0.000    0.000    0.001    0.000 abc.py:110(register)
      146    0.000    0.000    0.000    0.000 numerictypes.py:289(issubclass_)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.002    0.002 apply.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method nt.putenv}
       91    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
        6    0.000    0.000    0.001    0.000 enum.py:536(_convert_)
        1    0.000    0.000    0.000    0.000 wintypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 range.py:1(<module>)
      147    0.000    0.000    0.000    0.000 __init__.py:402(<genexpr>)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {method 'expandtabs' of 'str' objects}
        1    0.000    0.000    0.018    0.018 config.py:1(<module>)
       49    0.000    0.000    0.000    0.000 core.py:129(get_object_signature)
      106    0.000    0.000    0.000    0.000 inspect.py:209(ismethoddescriptor)
        1    0.000    0.000    0.004    0.004 masked.py:1(<module>)
        1    0.000    0.000    0.000    0.000 masked.py:108(BaseMaskedArray)
       60    0.000    0.000    0.004    0.000 typing.py:1040(__or__)
       34    0.000    0.000    0.000    0.000 typing.py:722(__init__)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:1(<module>)
       18    0.000    0.000    0.000    0.000 contextlib.py:252(contextmanager)
        1    0.000    0.000    0.000    0.000 sysconfig.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimes.py:168(DatetimeArray)
       50    0.000    0.000    0.000    0.000 config.py:780(config_prefix)
       18    0.000    0.000    0.000    0.000 os.py:674(__getitem__)
        1    0.000    0.000    0.000    0.000 categorical.py:246(Categorical)
       89    0.000    0.000    0.000    0.000 re.py:269(escape)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
       94    0.000    0.000    0.000    0.000 typing.py:223(_check_generic)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:7107(getdoc)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
       21    0.000    0.000    0.000    0.000 __init__.py:520(_cmpkey)
        2    0.000    0.000    0.000    0.000 _strptime.py:107(__calc_date_time)
       66    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1163(__init__)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 asserters.py:1(<module>)
       13    0.000    0.000    0.000    0.000 typing.py:2327(_namedtuple_mro_entries)
      105    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.001    0.001 managers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 shutil.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:550(wrapper)
        1    0.000    0.000    0.000    0.000 html.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method winreg.OpenKey}
       25    0.000    0.000    0.000    0.000 typing.py:1106(__mro_entries__)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      100    0.000    0.000    0.000    0.000 _strptime.py:234(<genexpr>)
        1    0.000    0.000    0.001    0.001 grouper.py:1(<module>)
      276    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
       53    0.000    0.000    0.000    0.000 util.py:76(<listcomp>)
        1    0.000    0.000    0.000    0.000 interval.py:160(IntervalIndex)
        1    0.000    0.000    0.000    0.000 info.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 resample.py:121(Resampler)
       42    0.000    0.000    0.000    0.000 getlimits.py:25(_fr1)
       75    0.000    0.000    0.000    0.000 config.py:810(wrap)
        2    0.000    0.000    0.000    0.000 {built-in method winreg.ConnectRegistry}
       19    0.000    0.000    0.000    0.000 enum.py:82(__init__)
      158    0.000    0.000    0.000    0.000 abc.py:7(abstractmethod)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
        9    0.000    0.000    0.000    0.000 ntpath.py:77(join)
      127    0.000    0.000    0.000    0.000 typing.py:1053(<genexpr>)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        2    0.000    0.000    0.001    0.000 _strptime.py:173(__init__)
      231    0.000    0.000    0.000    0.000 inspect.py:2999(parameters)
        1    0.000    0.000    0.000    0.000 function.py:1(<module>)
        1    0.000    0.000    0.002    0.002 array_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pivot.py:1(<module>)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        3    0.000    0.000    0.000    0.000 numba_.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 expressions.py:1(<module>)
       18    0.000    0.000    0.000    0.000 arrayprint.py:1678(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 wintypes.py:143(WIN32_FIND_DATAA)
        1    0.000    0.000    0.000    0.000 base.py:110(ExtensionArray)
        1    0.000    0.000    0.001    0.001 generic.py:154(SeriesGroupBy)
        1    0.000    0.000    0.003    0.003 subprocess.py:1(<module>)
      147    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 executor.py:1(<module>)
       58    0.000    0.000    0.000    0.000 types.py:176(__get__)
        7    0.000    0.000    0.000    0.000 _parser.py:309(_convert)
        1    0.000    0.000    0.001    0.001 _mixins.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:887(wrapper)
      100    0.000    0.000    0.000    0.000 __init__.py:27(decorator)
       20    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       92    0.000    0.000    0.000    0.000 typing.py:1329(<genexpr>)
        3    0.000    0.000    0.000    0.000 getlimits.py:312(_get_machar)
      116    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      179    0.000    0.000    0.000    0.000 expr.py:184(<genexpr>)
      105    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
      106    0.000    0.000    0.000    0.000 inspect.py:404(isbuiltin)
        1    0.000    0.000    0.007    0.007 platform.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pickle_compat.py:1(<module>)
        2    0.000    0.000    0.000    0.000 lazy.py:139(__new__)
        1    0.000    0.000    0.001    0.001 melt.py:1(<module>)
       64    0.000    0.000    0.000    0.000 _decorators.py:437(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method time.strftime}
       13    0.000    0.000    0.000    0.000 typing.py:2248(<dictcomp>)
       45    0.000    0.000    0.000    0.000 accessor.py:110(_create_delegator_method)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
        1    0.000    0.000    0.001    0.001 contexts.py:1(<module>)
       10    0.000    0.000    0.000    0.000 dtypes.py:2171(name)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:770(create_module)
        1    0.000    0.000    0.011    0.011 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1190(ZipFile)
       16    0.000    0.000    0.000    0.000 functools.py:479(lru_cache)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
       42    0.000    0.000    0.000    0.000 getlimits.py:92(_float_to_float)
       64    0.000    0.000    0.000    0.000 common.py:37(wrapper)
      105    0.000    0.000    0.000    0.000 docscrape.py:389(<listcomp>)
        1    0.000    0.000    0.000    0.000 array.py:287(SparseArray)
        1    0.000    0.000    0.000    0.000 string_arrow.py:1(<module>)
      100    0.000    0.000    0.000    0.000 __init__.py:16(set_module)
        7    0.000    0.000    0.000    0.000 ntpath.py:180(split)
        1    0.000    0.000    0.002    0.002 printing.py:1(<module>)
        1    0.000    0.000    0.000    0.000 xml.py:1(<module>)
        6    0.000    0.000    0.000    0.000 nanops.py:103(__call__)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 docstrings.py:1(<module>)
      231    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
      119    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.001    0.001 _parser.py:1(<module>)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
       19    0.000    0.000    0.000    0.000 enum.py:423(__getattr__)
       10    0.000    0.000    0.000    0.000 typing.py:1207(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:1967(TimelikeOps)
        1    0.000    0.000    0.000    0.000 rolling.py:884(Window)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
      165    0.000    0.000    0.000    0.000 expr.py:254(_node_not_implemented)
        3    0.000    0.000    0.000    0.000 enum.py:1026(_decompose)
      131    0.000    0.000    0.000    0.000 expr.py:197(<genexpr>)
       12    0.000    0.000    0.000    0.000 typing.py:1193(__getitem__)
       52    0.000    0.000    0.000    0.000 calendar.py:60(__getitem__)
        1    0.000    0.000    0.000    0.000 blocks.py:183(Block)
        1    0.000    0.000    0.001    0.001 win.py:215(__init__)
      225    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        1    0.000    0.000    0.000    0.000 signal.py:1(<module>)
       54    0.000    0.000    0.000    0.000 six.py:182(_add_module)
        1    0.000    0.000    0.001    0.001 win.py:347(valuestodict)
        1    0.000    0.000    0.001    0.001 category.py:1(<module>)
       23    0.000    0.000    0.000    0.000 nanops.py:70(<genexpr>)
        1    0.000    0.000    0.001    0.001 scope.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ntpath.py:289(expanduser)
        1    0.000    0.000    0.000    0.000 __init__.py:217(<listcomp>)
      182    0.000    0.000    0.000    0.000 typing.py:1736(cast)
        2    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        2    0.000    0.000    0.000    0.000 utils.py:1(<module>)
        1    0.000    0.000    0.003    0.003 numpy_.py:1(<module>)
       26    0.000    0.000    0.000    0.000 core.py:966(__init__)
        8    0.000    0.000    0.000    0.000 typing.py:2355(<dictcomp>)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
       84    0.000    0.000    0.000    0.000 lazy.py:149(lazy)
       95    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       25    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        1    0.000    0.000    0.000    0.000 encoding.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _table_schema.py:1(<module>)
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
        1    0.000    0.000    0.000    0.000 python_parser.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 from_dataframe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        1    0.000    0.000    0.038    0.038 __config__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 function_base.py:1(<module>)
       32    0.000    0.000    0.000    0.000 sysconfig.py:197(_subst_vars)
        1    0.000    0.000    0.000    0.000 ewm.py:133(ExponentialMovingWindow)
        6    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 extension.py:1(<module>)
      113    0.000    0.000    0.000    0.000 {built-in method _struct.unpack}
       18    0.000    0.000    0.000    0.000 arrayprint.py:1685(_array_str_implementation)
       22    0.000    0.000    0.000    0.000 config.py:882(is_one_of_factory)
        1    0.000    0.000    0.000    0.000 integer.py:1(<module>)
        1    0.000    0.000    0.001    0.001 objects.py:1(<module>)
        1    0.000    0.000    0.005    0.005 eval.py:1(<module>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:529(_init_fn)
       39    0.000    0.000    0.000    0.000 getlimits.py:17(_fr0)
        1    0.000    0.000    0.009    0.009 describe.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr.py:339(BaseExprVisitor)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
       13    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       22    0.000    0.000    0.000    0.000 os.py:746(encodekey)
       63    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
       14    0.000    0.000    0.000    0.000 __init__.py:142(_check_size)
        1    0.000    0.000    0.032    0.032 pyarrow.py:1(<module>)
       47    0.000    0.000    0.000    0.000 six.py:110(__init__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of 'PyHKEY' objects}
       16    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _odfreader.py:1(<module>)
       50    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 base.py:285(IndexOpsMixin)
        2    0.000    0.000    0.000    0.000 {built-in method nt.unsetenv}
       10    0.000    0.000    0.000    0.000 typing.py:1187(copy_with)
        8    0.000    0.000    0.000    0.000 getlimits.py:493(__new__)
       19    0.000    0.000    0.000    0.000 enum.py:198(<dictcomp>)
       15    0.000    0.000    0.000    0.000 dtypes.py:1305(construct_from_string)
       37    0.000    0.000    0.000    0.000 getlimits.py:721(max)
        1    0.000    0.000    0.000    0.000 feather_format.py:1(<module>)
        4    0.000    0.000    0.001    0.000 __init__.py:340(__init__)
        8    0.000    0.000    0.000    0.000 sre_parse.py:863(_parse_flags)
        1    0.000    0.000    0.000    0.000 argparse.py:1(<module>)
        1    0.000    0.000    0.001    0.001 object_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
      257    0.000    0.000    0.000    0.000 hmac.py:20(<genexpr>)
        3    0.000    0.000    0.000    0.000 ntpath.py:638(realpath)
        1    0.000    0.000    0.000    0.000 base.py:43(ExtensionDtype)
        1    0.000    0.000    0.000    0.000 datetimes.py:106(DatetimeIndex)
      120    0.000    0.000    0.000    0.000 typing.py:1074(<genexpr>)
        6    0.000    0.000    0.000    0.000 getlimits.py:63(smallest_subnormal)
        1    0.000    0.000    0.001    0.001 win.py:1(<module>)
       10    0.000    0.000    0.001    0.000 extras.py:255(getdoc)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
       42    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:83(<genexpr>)
        1    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:1(<module>)
       81    0.000    0.000    0.000    0.000 __init__.py:348(<genexpr>)
        1    0.000    0.000    0.000    0.000 _validators.py:1(<module>)
      197    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
       48    0.000    0.000    0.000    0.000 getlimits.py:102(_float_conv)
       14    0.000    0.000    0.000    0.000 io.py:60(__getattr__)
        1    0.000    0.000    0.000    0.000 string_arrow.py:79(ArrowStringArray)
        1    0.000    0.000    0.000    0.000 {method 'dot' of 'numpy.ndarray' objects}
       28    0.000    0.000    0.000    0.000 calendar.py:79(__getitem__)
       78    0.000    0.000    0.000    0.000 _internal.py:904(<genexpr>)
        3    0.000    0.000    0.000    0.000 __init__.py:509(cast)
       13    0.000    0.000    0.000    0.000 core.py:8801(_replace_return_type)
        1    0.000    0.000    0.000    0.000 pprint.py:106(PrettyPrinter)
        1    0.000    0.000    0.003    0.003 _base.py:1435(ExcelFile)
        2    0.000    0.000    0.005    0.002 util.py:1(<module>)
        1    0.000    0.000    0.004    0.004 docscrape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
       15    0.000    0.000    0.000    0.000 dtypes.py:1054(construct_from_string)
        1    0.000    0.000    0.000    0.000 tile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _hashlib.openssl_md5}
        1    0.000    0.000    0.000    0.000 pickle.py:1137(_Unpickler)
        1    0.000    0.000    0.020    0.020 defmatrix.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8789(getdoc)
       82    0.000    0.000    0.000    0.000 typing.py:1055(<genexpr>)
        1    0.000    0.000    0.000    0.000 align.py:1(<module>)
        1    0.000    0.000    0.000    0.000 mixins.py:61(NDArrayOperatorsMixin)
      135    0.000    0.000    0.000    0.000 six.py:93(__init__)
       16    0.000    0.000    0.000    0.000 doc.py:93(window_agg_numba_parameters)
       72    0.000    0.000    0.000    0.000 typing.py:1341(<genexpr>)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 wintypes.py:155(WIN32_FIND_DATAW)
        1    0.000    0.000    0.000    0.000 _mixins.py:92(NDArrayBackedExtensionArray)
        1    0.000    0.000    0.000    0.000 base.py:21(BaseStringArrayMethods)
        1    0.000    0.000    0.000    0.000 c_parser_wrapper.py:1(<module>)
       18    0.000    0.000    0.000    0.000 dataclasses.py:825(_set_new_attribute)
       21    0.000    0.000    0.000    0.000 overrides.py:22(get_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 _histograms_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _optional.py:1(<module>)
       13    0.000    0.000    0.000    0.000 expr.py:189(_filter_nodes)
        1    0.000    0.000    0.001    0.001 _io.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:391(__getitem__)
